C:\Users\Mikail Achmad\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\requests\__init__.py:113: RequestsDependencyWarning: urllib3 (2.6.3) or chardet (7.6.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[INIT].... \u2192 Crawl4AI 0.9.3 
[FETCH]... \u2193 https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2026-01-01&end_date=2026-12-31 | \u2713 | \u23f1: 3.33s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2026-01-01&end_date=2026-12-31 | \u2713 | \u23f1: 0.14s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2026-01-01&end_date=2026-12-31 | \u2713 | \u23f1: 0.07s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2026-01-01&end_date=2026-12-31 | \u2713 | \u23f1: 3.57s 
[FETCH]... \u2193 https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2026-01-01&end_date=2026-12-31 | \u2713 | \u23f1: 4.00s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2026-01-01&end_date=2026-12-31 | \u2713 | \u23f1: 0.09s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2026-01-01&end_date=2026-12-31 | \u2713 | \u23f1: 0.04s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2026-01-01&end_date=2026-12-31 | \u2713 | \u23f1: 4.15s 
[FETCH]... \u2193 https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2025-01-01&end_date=2025-12-31 | \u2713 | \u23f1: 12.89s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2025-01-01&end_date=2025-12-31 | \u2713 | \u23f1: 1.15s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2025-01-01&end_date=2025-12-31 | \u2713 | \u23f1: 0.06s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2025-01-01&end_date=2025-12-31 | \u2713 | \u23f1: 14.12s 
[FETCH]... \u2193 https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2025-01-01&end_date=2025-12-31 | \u2713 | \u23f1: 2.79s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2025-01-01&end_date=2025-12-31 | \u2713 | \u23f1: 0.10s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2025-01-01&end_date=2025-12-31 | \u2713 | \u23f1: 0.12s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2025-01-01&end_date=2025-12-31 | \u2713 | \u23f1: 3.02s 
[FETCH]... \u2193 https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2024-01-01&end_date=2024-12-31 | \u2713 | \u23f1: 2.50s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2024-01-01&end_date=2024-12-31 | \u2713 | \u23f1: 0.11s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2024-01-01&end_date=2024-12-31 | \u2713 | \u23f1: 0.04s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2024-01-01&end_date=2024-12-31 | \u2713 | \u23f1: 2.67s 
[FETCH]... \u2193 https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2024-01-01&end_date=2024-12-31 | \u2713 | \u23f1: 2.55s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2024-01-01&end_date=2024-12-31 | \u2713 | \u23f1: 0.10s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2024-01-01&end_date=2024-12-31 | \u2713 | \u23f1: 0.05s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2024-01-01&end_date=2024-12-31 | \u2713 | \u23f1: 2.72s 
[FETCH]... \u2193 https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2023-01-01&end_date=2023-12-31 | \u2713 | \u23f1: 2.43s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2023-01-01&end_date=2023-12-31 | \u2713 | \u23f1: 0.10s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2023-01-01&end_date=2023-12-31 | \u2713 | \u23f1: 0.05s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2023-01-01&end_date=2023-12-31 | \u2713 | \u23f1: 2.59s 
[FETCH]... \u2193 https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2023-01-01&end_date=2023-12-31 | \u2713 | \u23f1: 2.56s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2023-01-01&end_date=2023-12-31 | \u2713 | \u23f1: 0.11s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2023-01-01&end_date=2023-12-31 | \u2713 | \u23f1: 0.05s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2023-01-01&end_date=2023-12-31 | \u2713 | \u23f1: 2.74s 
[FETCH]... \u2193 https://search.kompas.com/search?q=PLTN&site_id=all&page=3&start_date=2023-01-01&end_date=2023-12-31 | \u2713 | \u23f1: 2.49s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=PLTN&site_id=all&page=3&start_date=2023-01-01&end_date=2023-12-31 | \u2713 | \u23f1: 0.09s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=PLTN&site_id=all&page=3&start_date=2023-01-01&end_date=2023-12-31 | \u2713 | \u23f1: 0.05s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=PLTN&site_id=all&page=3&start_date=2023-01-01&end_date=2023-12-31 | \u2713 | \u23f1: 2.65s 
[FETCH]... \u2193 https://search.kompas.com/search?q=PLTN&site_id=all&page=4&start_date=2023-01-01&end_date=2023-12-31 | \u2713 | \u23f1: 2.67s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=PLTN&site_id=all&page=4&start_date=2023-01-01&end_date=2023-12-31 | \u2713 | \u23f1: 0.08s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=PLTN&site_id=all&page=4&start_date=2023-01-01&end_date=2023-12-31 | \u2713 | \u23f1: 0.05s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=PLTN&site_id=all&page=4&start_date=2023-01-01&end_date=2023-12-31 | \u2713 | \u23f1: 2.82s 
[FETCH]... \u2193 https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2022-01-01&end_date=2022-12-31 | \u2713 | \u23f1: 2.76s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2022-01-01&end_date=2022-12-31 | \u2713 | \u23f1: 0.10s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2022-01-01&end_date=2022-12-31 | \u2713 | \u23f1: 0.15s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=PLTN&site_id=all&page=1&start_date=2022-01-01&end_date=2022-12-31 | \u2713 | \u23f1: 3.02s 
[FETCH]... \u2193 https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2022-01-01&end_date=2022-12-31 | \u2713 | \u23f1: 2.52s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2022-01-01&end_date=2022-12-31 | \u2713 | \u23f1: 0.10s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2022-01-01&end_date=2022-12-31 | \u2713 | \u23f1: 0.05s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=PLTN&site_id=all&page=2&start_date=2022-01-01&end_date=2022-12-31 | \u2713 | \u23f1: 2.68s 
